Team_Name,Year,Wins,Losses,Overtime_Losses,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Games_played,GF_per_Game,GA_per_Game,GD_per_Game,Team_Initials,Era
Toronto Maple Leafs,1970,23,46,0,28.7,241,318,-77,69.0,3.49,4.61,-1.12,TML,1990s
Vancouver Canucks,1970,28,43,0,35.0,243,315,-72,71.0,3.42,4.44,-1.01,VC,1990s
Washington Capitals,1970,37,36,0,46.3,258,258,0,73.0,3.53,3.53,0.0,WC,1990s
Winnipeg Jets,1970,26,43,0,32.5,260,288,-28,69.0,3.77,4.17,-0.41,WJ,1990s
Boston Bruins,1970,36,32,0,45.0,270,275,-5,68.0,3.97,4.04,-0.07,BB,1990s
Buffalo Sabres,1970,31,37,0,38.8,289,299,-10,68.0,4.25,4.4,-0.15,BS,1990s
Calgary Flames,1970,31,37,0,38.8,296,305,-9,68.0,4.35,4.49,-0.13,CF,1990s
Chicago Blackhawks,1970,36,29,0,45.0,257,236,21,65.0,3.95,3.63,0.32,CB,1990s
Detroit Red Wings,1970,43,25,0,53.7,320,256,64,68.0,4.71,3.76,0.94,DRW,1990s
Edmonton Oilers,1970,36,34,0,45.0,295,297,-2,70.0,4.21,4.24,-0.03,EO,1990s
Hartford Whalers,1970,26,41,0,32.5,247,283,-36,67.0,3.69,4.22,-0.54,HW,1990s
Los Angeles Kings,1970,35,31,0,43.8,287,296,-9,66.0,4.35,4.48,-0.14,LAK,1990s
Minnesota North Stars,1970,32,42,0,40.0,246,278,-32,74.0,3.32,3.76,-0.43,MNS,1990s
Montreal Canadiens,1970,41,28,0,51.2,267,207,60,69.0,3.87,3.0,0.87,MC,1990s
New Jersey Devils,1970,38,31,0,47.5,289,259,30,69.0,4.19,3.75,0.43,NJD,1990s
New York Islanders,1970,34,35,0,42.5,291,299,-8,69.0,4.22,4.33,-0.12,NYI,1990s
New York Rangers,1970,50,25,0,62.5,321,246,75,75.0,4.28,3.28,1.0,NYR,1990s
Philadelphia Flyers,1970,32,37,0,40.0,252,273,-21,69.0,3.65,3.96,-0.3,PF,1990s
Pittsburgh Penguins,1970,39,32,0,48.7,343,308,35,71.0,4.83,4.34,0.49,PP,1990s
Quebec Nordiques,1970,20,48,0,25.0,255,318,-63,68.0,3.75,4.68,-0.93,QN,1990s
San Jose Sharks,1970,17,58,0,21.2,219,359,-140,75.0,2.92,4.79,-1.87,SJS,1990s
St. Louis Blues,1970,36,33,0,45.0,279,266,13,69.0,4.04,3.86,0.19,SLB,1990s
Toronto Maple Leafs,1970,30,43,0,37.5,234,294,-60,73.0,3.21,4.03,-0.82,TML,1990s
Vancouver Canucks,1970,42,26,0,52.5,285,250,35,68.0,4.19,3.68,0.51,VC,1990s
Washington Capitals,1970,45,27,0,56.2,330,275,55,72.0,4.58,3.82,0.76,WC,1990s
Winnipeg Jets,1970,33,32,0,41.2,251,244,7,65.0,3.86,3.75,0.11,WJ,1990s
Boston Bruins,1970,51,26,0,60.7,332,268,64,77.0,4.31,3.48,0.83,BB,1990s
Buffalo Sabres,1970,38,36,0,45.2,335,297,38,74.0,4.53,4.01,0.51,BS,1990s
Calgary Flames,1970,43,30,0,51.2,322,282,40,73.0,4.41,3.86,0.55,CF,1990s
Chicago Blackhawks,1970,47,25,0,56.0,279,230,49,72.0,3.88,3.19,0.68,CB,1990s
Detroit Red Wings,1970,47,28,0,56.0,369,280,89,75.0,4.92,3.73,1.19,DRW,1990s
Edmonton Oilers,1970,26,50,0,31.0,242,337,-95,76.0,3.18,4.43,-1.25,EO,1990s
Hartford Whalers,1970,26,52,0,31.0,284,369,-85,78.0,3.64,4.73,-1.09,HW,1990s
Los Angeles Kings,1970,39,35,0,46.4,338,340,-2,74.0,4.57,4.59,-0.03,LAK,1990s
Minnesota North Stars,1970,36,38,0,42.9,272,293,-21,74.0,3.68,3.96,-0.28,MNS,1990s
Montreal Canadiens,1970,48,30,0,57.1,326,280,46,78.0,4.18,3.59,0.59,MC,1990s
New Jersey Devils,1970,40,37,0,47.6,308,299,9,77.0,4.0,3.88,0.12,NJD,1990s
New York Islanders,1970,40,37,0,47.6,335,297,38,77.0,4.35,3.86,0.49,NYI,1990s
New York Rangers,1970,34,39,0,40.5,304,308,-4,73.0,4.16,4.22,-0.05,NYR,1990s
Ottawa Senators,1970,10,70,0,11.9,202,395,-193,80.0,2.52,4.94,-2.41,OS,1990s
Philadelphia Flyers,1970,36,37,0,42.9,319,319,0,73.0,4.37,4.37,0.0,PF,1990s
Pittsburgh Penguins,1970,56,21,0,66.7,367,268,99,77.0,4.77,3.48,1.29,PP,1990s
Quebec Nordiques,1970,47,27,0,56.0,351,300,51,74.0,4.74,4.05,0.69,QN,1990s
San Jose Sharks,1970,11,71,0,13.1,218,414,-196,82.0,2.66,5.05,-2.39,SJS,1990s
St. Louis Blues,1970,37,36,0,44.0,282,278,4,73.0,3.86,3.81,0.05,SLB,1990s
Tampa Bay Lightning,1970,23,54,0,27.4,245,332,-87,77.0,3.18,4.31,-1.13,TBL,1990s
Toronto Maple Leafs,1970,44,29,0,52.4,288,241,47,73.0,3.95,3.3,0.64,TML,1990s
Vancouver Canucks,1970,46,29,0,54.8,346,278,68,75.0,4.61,3.71,0.91,VC,1990s
Washington Capitals,1970,43,34,0,51.2,325,286,39,77.0,4.22,3.71,0.51,WC,1990s
Winnipeg Jets,1970,40,37,0,47.6,322,320,2,77.0,4.18,4.16,0.03,WJ,1990s
